OrderID,CustomerName,Phone,State,Product,Price,Quantity,OrderDate,PaymentStatus,Email
34,sarah ben,not available,KADUNA,AirPods,450.000,2,Oct 20 2024,PAID,danokoro@mail
35,amina ibrahim,0803-663-1619,LAGOS,AirPods,450000,1,2024-10-26,PENDING,kingsley@mail.com
36,musa  danjuma,,port harcourt,Iphone X,250000,3,2024/10/31,Pending,EMEKA@MAIL.COM
37,FAITH JOHN,0804 479 0466,Abuja,Iphone X,250.000,1,2024-11-20,FAILED,blessing@mail.com
38,adebayo   femi,0806-700-1270,KADUNA,hp laptop,"250,000",2,2024/10/26,pending,ESTHER@MAIL.COM
39, Chinedu Okafor ,0804 985 1196,Kaduna,Iphone X,450000,3,2024-10-22,Paid,adefemi@mail
40,adebayo   femi,not available,PORT HARCOURT,infinix phone,"120,000",1,2024/11/15,failed,musa@mail.com
41,janet olawale,08031943391,lagos,Infinix Phone,450.000,3,Nov 04 2024,pending,blessing@mail.com
42,ferdinand  nwoke,0803-938-4168,LAGOS,hp laptop,35.000,2,22-10-2024,failed,amaka@
43,EMEKA UZO,08025904029,ABUJA,HP laptop,35000,,2024/10/06,pending, no email
44,EMEKA UZO,0802-603-5513,ENUGU,Samsung Phone,450.000,2,Oct 01 2024,PAID,danokoro@mail
45, Chinedu Okafor ,,ENUGU,Iphone X,450000,2,25/11/2024,PAID,musa@mail.com
46,ifeoma igwe,0802-619-6082,Jos,airpods,250.000,2,02-10-2024,PAID,danokoro@mail
47,oluchi oke,0800 403 8667,Abuja,Infinix Phone,"120,000",,2024-11-05,failed,
48,adebayo   femi,0804 181 2340,LAGOS,hp laptop,35.000,1,Nov 03 2024,pending,adefemi@mail
49,oluchi oke,0809 430 9131,PORT HARCOURT,Iphone X,35000,,08-11-2024,pending,adefemi@mail
50,KINGSLEY ONU,0802 675 3212,KADUNA,Samsung Phone,150000,,Oct 07 2024,PENDING,musa@mail.com
51,sarah ben,not available,enugu,Infinix Phone,120.000,2,25/11/2024,FAILED,ESTHER@MAIL.COM
52,  Blessing Okorie,not available,Abuja,AirPods,450.000,3,26/10/2024,Pending,ESTHER@MAIL.COM
53,CHIKA ONUOHA,not available,JOS,HP Laptop,"450,000",2,2024-11-14,failed,FAITH@GMAIL.COM
54,FAITH JOHN,not available,enugu,iphone x,120000,1,2024-10-20,failed,blessing@mail.com
55,janet olawale,not available,KADUNA,infinix phone,150.000,3,Oct 02 2024,failed,janet@mail.com
56,EMEKA UZO,,KADUNA,iPhone X,"250,000",1,Nov 09 2024,Pending,musa@mail.com
57,  ESTHER   JOHN,,LAGOS,hp laptop,250000,3,Oct 16 2024,failed,blessing@mail.com
58,daniel okoro,,PORT HARCOURT,iphone x,120.000,,2024-10-19,Pending,amaka@
59,EMEKA UZO,not available,enugu,HP Laptop,120000,2,04/10/2024,PENDING,adefemi@mail
60,GRACE DANIEL,0802 374 0127,LAGOS,samsung phone,450000,1,18-10-2024,PENDING,
61,ABDUL  BELLO,,Jos,iPhone X,150.000,3,17/11/2024,PENDING,kingsley@mail.com
62,VICTOR ADE,08072764093,Abuja,iPhone X,35.000,2,2024-10-23,FAILED,
63,gbenga isaac,0803-190-9061,KADUNA,AirPods,"450,000",2,25/11/2024,pending,kingsley@mail.com
64,EMEKA UZO,08047992398,enugu,HP Laptop,35000,,2024/11/07,PENDING,kingsley@mail.com
65,FAITH JOHN,0806 410 2765,Kaduna,AirPods,"250,000",1,30-11-2024,Paid,FAITH@GMAIL.COM
66,TUNDE BAKARE,08063325442,Abuja,SAMSUNG PHONE,120.000,,2024-10-23,FAILED,chika@mail.com
67,EMEKA UZO,not available,Lagos,AirPods,450000,,28-11-2024,PENDING,
68,joy okafor,0808 252 5495,lagos,samsung phone,"150,000",1,23-10-2024,failed,
69,ferdinand  nwoke,08048751253,Kaduna,HP Laptop,250000,1,2024-11-18,PENDING,adefemi@mail
70,oluchi oke,0800 608 6828,PORT HARCOURT,Iphone X,150.000,3,Nov 21 2024,Pending,oluchioke@mail
71, Chinedu Okafor ,0804 278 8803,KADUNA,HP laptop,250000,3,19/10/2024,pending,musa@mail.com
72,oluchi oke,0809 704 1348,Jos,AirPods,250.000,,2024/10/04,PAID,
73,janet olawale,,ABUJA,SAMSUNG PHONE,35.000,,2024/11/07,Paid,danokoro@mail
74,TUNDE BAKARE,0806 955 8210,Lagos,AirPods,35.000,1,2024-10-10,Pending,janet@mail.com
75,janet olawale,08059328146,Jos,infinix phone,35000,,2024/11/26,failed,chika@mail.com
76,CHIKA ONUOHA,not available,Kaduna,iPhone X,120.000,1,04-11-2024,PENDING,danokoro@mail
77,janet olawale,0802 828 2216,port harcourt,Samsung Phone,"450,000",,18-11-2024,FAILED,gbenga@
78,  amaka obinna,0805 786 9599,Kaduna,Iphone X,250000,3,Nov 24 2024,pending,blessing@mail.com
79,adebayo   femi,0802 965 6436,Kaduna,Samsung Phone,120.000,,05/11/2024,PAID,EMEKA@MAIL.COM
80,janet olawale,0801-250-5134,PORT HARCOURT,AirPods,"450,000",3,Oct 20 2024,PENDING,oluchioke@mail
81,  Blessing Okorie,0806-437-7855,LAGOS,airpods,"120,000",,2024-11-27,Paid,gbenga@
82,adebayo   femi,not available,Lagos,Iphone X,250000,2,2024-10-16,PENDING,chinedu@email.com
83,  ESTHER   JOHN,0807-763-3354,KADUNA,HP Laptop,"250,000",,2024-10-02,FAILED,amaka@
84,daniel okoro,not available,KADUNA,iphone x,120000,,2024-11-17,PENDING,
85, Chinedu Okafor ,08048248540,Abuja,Iphone X,250.000,3,31/10/2024,FAILED,
86,Michael  Peters,0806-484-6417,lagos,iphone x,120.000,1,11-11-2024,failed,blessing@mail.com
87,musa  danjuma,0806-879-5170,lagos,HP laptop,"120,000",1,2024/11/19,PENDING,abdul@mail
88,CHIKA ONUOHA,08095913845,ABUJA,airpods,"250,000",,04/11/2024,pending,amaka@
89,VICTOR ADE,0800-271-2566,port harcourt,AirPods,"250,000",1,04/10/2024,Paid,no email
90,musa  danjuma,not available,KADUNA,Infinix Phone,450.000,1,2024-11-10,FAILED,abdul@mail
91,  Blessing Okorie,,port harcourt,SAMSUNG PHONE,35000,,20/11/2024,pending,
92,adebayo   femi,0809 824 5309,JOS,iPhone X,"35,000",,Nov 29 2024,PAID,
93,daniel okoro,not available,lagos,samsung phone,250.000,,2024-10-06,PENDING,abdul@mail
94,VICTOR ADE,not available,JOS,infinix phone,150.000,2,2024-10-26,pending,chika@mail.com
95,TUNDE BAKARE,0805-551-6602,Abuja,HP Laptop,"35,000",3,2024/11/08,Pending,oluchioke@mail
96,Michael  Peters,0801-482-2151,Kaduna,AirPods,120.000,3,Nov 25 2024,pending,CHINEDU@EMAIL.COM
97,joy okafor,,Jos,Iphone X,"250,000",,2024/10/27,FAILED,ESTHER@MAIL.COM
98,  amaka obinna,08008676189,enugu,infinix phone,"250,000",,2024/11/22,failed,amaka@
99, Chinedu Okafor ,0807 529 3649,lagos,AirPods,250.000,2,2024-10-10,FAILED, no email
100,ifeoma igwe,0804 352 2050,Kaduna,HP Laptop,"120,000",3,2024/11/26,pending,chika@mail.com
101,ifeoma igwe,,Lagos,iphone x,"150,000",3,2024/10/15,PAID,kingsley@mail.com
102,sarah ben,0809-316-4486,enugu,Iphone X,35.000,2,2024/11/19,FAILED,amina@email.COM
103,VICTOR ADE,0807-601-6624,Kaduna,AirPods,120000,3,2024/10/31,failed,amina@email.COM
104,VICTOR ADE,not available,PORT HARCOURT,iPhone X,"120,000",3,28-11-2024,paid, no email
105,  amaka obinna,,Jos,AirPods,150.000,2,2024/10/12,FAILED,oluchioke@mail
106,adebayo   femi,0805 899 4599,Jos,Samsung Phone,"150,000",,2024-11-29,pending,EMEKA@MAIL.COM
107,EMEKA UZO,not available,lagos,Samsung Phone,35000,3,05/11/2024,PENDING,abdul@mail
108,sarah ben,,Abuja,HP laptop,150.000,,27/11/2024,PAID,adefemi@mail
109,Michael  Peters,08081544833,Abuja,Samsung Phone,450000,1,23/10/2024,pending,gbenga@
110,ABDUL  BELLO,not available,Lagos,HP laptop,250.000,1,Nov 22 2024,paid,danokoro@mail
111,daniel okoro,0805-291-9441,JOS,airpods,35000,,2024-11-21,Pending,chinedu@email.com
112,TUNDE BAKARE,,PORT HARCOURT,Infinix Phone,450000,2,2024-10-23,PAID,FAITH@GMAIL.COM
113, CHINEDU OKAFOR ,08007260716,LAGOS,samsung phone,"450,000",,2024/10/10,PAID,
114,musa  danjuma,08019684887,PORT HARCOURT,iphone x,150000,,2024/11/14,pending,sarah@mail
115,daniel okoro,not available,PORT HARCOURT,SAMSUNG PHONE,"450,000",2,2024/10/13,PAID,
116,ifeoma igwe,,Kaduna,HP Laptop,"250,000",,14/11/2024,FAILED,ESTHER@MAIL.COM
117,Michael  Peters,08087529543,Lagos,infinix phone,120.000,1,Oct 10 2024,Paid,amina@email.COM
118,ABDUL  BELLO,08076968613,port harcourt,Iphone X,250000,3,Nov 23 2024,failed,amina@email.COM
119,oluchi oke,not available,PORT HARCOURT,airpods,35.000,1,29-11-2024,Paid,
120,sarah ben,0808 649 3705,Lagos,AirPods,250.000,2,Nov 10 2024,pending,musa@mail.com
121,  Blessing Okorie,08049483104,Abuja,HP laptop,"250,000",3,2024/10/08,pending,
122,EMEKA UZO,08066122004,JOS,iPhone X,250000,3,11-11-2024,Pending,chika@mail.com
123,gbenga isaac,0802-291-6654,port harcourt,HP laptop,"35,000",3,30-11-2024,PAID,adefemi@mail
124,CHIKA ONUOHA,0805-754-2716,ABUJA,iphone x,35000,2,16/10/2024,pending,abdul@mail
125,  amaka obinna,not available,PORT HARCOURT,AirPods,35000,2,30/11/2024,FAILED,blessing@mail.com
126, CHINEDU OKAFOR ,0808 204 5134,lagos,iPhone X,150.000,2,Nov 27 2024,pending,no email
127,daniel okoro,0802-363-1354,Jos,SAMSUNG PHONE,"35,000",,21/11/2024,Pending,musa@mail.com
128,adebayo   femi,0800 669 9575,Lagos,iPhone X,35.000,2,29/10/2024,PAID,CHINEDU@EMAIL.COM
129,gbenga isaac,,Kaduna,airpods,35.000,3,28-10-2024,Pending,blessing@mail.com
130,gbenga isaac,0803 148 2427,Lagos,SAMSUNG PHONE,150000,3,Oct 18 2024,FAILED,abdul@mail
131,Michael  Peters,0800-159-0557,JOS,samsung phone,35.000,2,04-11-2024,PAID,musa@mail.com
132,amina ibrahim,,PORT HARCOURT,samsung phone,120.000,1,2024-10-21,pending,musa@mail.com
133,  ESTHER   JOHN,0808 532 0351,Abuja,Iphone X,120.000,,2024/10/16,paid,oluchioke@mail
134,CHIKA ONUOHA,08018010113,port harcourt,hp laptop,35.000,,Nov 25 2024,Pending,amina@email.COM
135,  amaka obinna,0809 351 9785,Abuja,Samsung Phone,450000,,Oct 12 2024,paid,danokoro@mail
136,janet olawale,not available,port harcourt,iphone x,"35,000",2,2024-10-24,PAID,ESTHER@MAIL.COM
137,musa  danjuma,0806 776 7929,ENUGU,Iphone X,"120,000",2,2024/10/04,paid,sarah@mail
138,amina ibrahim,,KADUNA,iPhone X,250.000,1,02/11/2024,PENDING,no email
139, CHINEDU OKAFOR ,not available,PORT HARCOURT,iPhone X,450.000,,Nov 01 2024,Pending,danokoro@mail
140,  ESTHER   JOHN,0809-401-0546,lagos,SAMSUNG PHONE,250000,3,2024-11-08,pending,amina@email.COM
141,gbenga isaac,not available,Abuja,AirPods,"35,000",,2024/11/01,Pending,janet@mail.com
142, Chinedu Okafor ,0806 816 3528,Lagos,hp laptop,120000,3,2024/10/04,paid,
143,sarah ben,not available,PORT HARCOURT,Iphone X,150000,,19-11-2024,Paid,kingsley@mail.com
144,oluchi oke,,port harcourt,airpods,120.000,1,2024-10-07,FAILED,janet@mail.com
145,CHIKA ONUOHA,,PORT HARCOURT,SAMSUNG PHONE,120000,,18/11/2024,paid,amaka@
146, CHINEDU OKAFOR ,,Kaduna,iPhone X,120000,,08/11/2024,Paid,FAITH@GMAIL.COM
147,TUNDE BAKARE,0801 014 4826,Jos,hp laptop,"250,000",,08-10-2024,paid,
148,gbenga isaac,0805-955-6075,Lagos,AirPods,"150,000",1,14-11-2024,paid,no email
149,musa  danjuma,not available,Kaduna,AirPods,250.000,,2024-11-04,Paid,chinedu@email.com
150,ABDUL  BELLO,08081220702,ENUGU,HP Laptop,"450,000",,10/10/2024,pending,chinedu@email.com
151,VICTOR ADE,0808-347-0812,Kaduna,Iphone X,150000,1,2024/10/18,PAID,
152,musa  danjuma,not available,ABUJA,AirPods,35.000,1,Oct 10 2024,pending,CHINEDU@EMAIL.COM
153,CHIKA ONUOHA,not available,port harcourt,iphone x,35000,,2024-10-25,failed,adefemi@mail
154, Chinedu Okafor ,08065602867,ENUGU,Iphone X,120000,1,14/11/2024,FAILED,EMEKA@MAIL.COM
155,  amaka obinna,,port harcourt,SAMSUNG PHONE,"35,000",2,27-11-2024,failed,gbenga@
156,TUNDE BAKARE,0805-988-6835,Abuja,iphone x,120.000,,2024/10/16,failed,CHINEDU@EMAIL.COM
157,EMEKA UZO,0809-265-7812,port harcourt,iPhone X,"250,000",,Oct 21 2024,PENDING,abdul@mail
158,ifeoma igwe,08078928495,ENUGU,AirPods,120.000,2,2024-10-24,failed,musa@mail.com
159,gbenga isaac,0807-374-4699,LAGOS,Infinix Phone,"150,000",,2024-11-18,failed,abdul@mail
160,  ESTHER   JOHN,not available,KADUNA,AirPods,35.000,2,2024-10-04,paid,abdul@mail
161,ABDUL  BELLO,0807 534 4365,ABUJA,HP Laptop,120.000,,02-11-2024,failed,ESTHER@MAIL.COM
162,amina ibrahim,08080919696,LAGOS,Infinix Phone,35.000,1,Oct 23 2024,PAID,danokoro@mail
163, CHINEDU OKAFOR ,0807-839-7666,LAGOS,AirPods,150.000,2,2024-11-22,paid,
164,ferdinand  nwoke,not available,PORT HARCOURT,Infinix Phone,"35,000",1,25-11-2024,Paid,
165,Michael  Peters,08004843031,Jos,SAMSUNG PHONE,"120,000",1,Nov 10 2024,PAID,oluchioke@mail
166,TUNDE BAKARE,0802 676 2829,enugu,SAMSUNG PHONE,35.000,,2024-11-05,Pending,EMEKA@MAIL.COM
167,adebayo   femi,,PORT HARCOURT,AirPods,250000,2,17/10/2024,Pending,kingsley@mail.com
168,ABDUL  BELLO,0806-880-1332,LAGOS,Samsung Phone,35000,,07/11/2024,FAILED,oluchioke@mail
169,  Blessing Okorie,not available,enugu,Iphone X,"150,000",,Oct 28 2024,failed,EMEKA@MAIL.COM
170,oluchi oke,0803 178 4108,ENUGU,Infinix Phone,120000,,Oct 27 2024,FAILED,chika@mail.com
171,amina ibrahim,0802 447 6533,Jos,Infinix Phone,"35,000",3,10/10/2024,failed,amaka@
172,FAITH JOHN,08092966629,ABUJA,iPhone X,250.000,,20-10-2024,paid,amaka@
173,CHIKA ONUOHA,,Kaduna,HP Laptop,35000,2,20-10-2024,PENDING,FAITH@GMAIL.COM
174,ABDUL  BELLO,not available,Lagos,HP Laptop,120.000,,2024-10-12,Paid,EMEKA@MAIL.COM
175,gbenga isaac,0801 782 1093,lagos,infinix phone,120000,,Oct 07 2024,Paid,danokoro@mail
176,Michael  Peters,0804 971 7896,port harcourt,Iphone X,"120,000",1,2024/10/07,failed,EMEKA@MAIL.COM
177,joy okafor,08059086625,Kaduna,iPhone X,"250,000",2,13-10-2024,paid,ESTHER@MAIL.COM
178,oluchi oke,0804-177-6883,Abuja,iPhone X,"150,000",3,17-10-2024,PAID,EMEKA@MAIL.COM
179,daniel okoro,not available,lagos,Infinix Phone,150000,,2024/10/24,failed,abdul@mail
180,musa  danjuma,0808-444-8864,Jos,Infinix Phone,120.000,3,10/11/2024,pending,FAITH@GMAIL.COM
181,janet olawale,,enugu,AirPods,250000,,10-10-2024,FAILED,adefemi@mail
182,VICTOR ADE,0803-521-7642,ABUJA,infinix phone,"150,000",3,08/11/2024,PENDING,danokoro@mail
183,  amaka obinna,0804-903-2354,JOS,HP Laptop,120.000,2,24-11-2024,pending,danokoro@mail
184,oluchi oke,08064006805,ABUJA,iPhone X,120000,,15/11/2024,pending,amaka@
185,musa  danjuma,0804 026 5528,Lagos,iphone x,"250,000",,2024/11/04,PAID,adefemi@mail
186,EMEKA UZO,0805 954 6026,ENUGU,HP Laptop,150000,1,30/11/2024,Paid,chinedu@email.com
187,joy okafor,,Lagos,Infinix Phone,35000,,2024-11-05,Pending,amina@email.COM
188,ABDUL  BELLO,0806 727 4332,Lagos,Infinix Phone,"250,000",1,09-11-2024,paid,danokoro@mail
189,adebayo   femi,not available,enugu,samsung phone,35000,1,19/11/2024,Pending,
190,oluchi oke,,JOS,HP laptop,"35,000",2,2024/10/05,Pending,CHINEDU@EMAIL.COM
191,  amaka obinna,08031002134,ABUJA,iphone x,150.000,1,2024/11/03,paid,CHINEDU@EMAIL.COM
192,adebayo   femi,08036071427,ABUJA,airpods,"450,000",,2024-10-14,FAILED,oluchioke@mail
193,adebayo   femi,0801 130 3673,PORT HARCOURT,HP Laptop,35.000,,22-10-2024,PENDING,EMEKA@MAIL.COM
194,amina ibrahim,,LAGOS,samsung phone,150000,1,Nov 28 2024,PENDING,amaka@
195,musa  danjuma,08066537987,LAGOS,SAMSUNG PHONE,120000,,30-10-2024,FAILED,gbenga@
196, CHINEDU OKAFOR ,0804 804 4079,Lagos,HP laptop,120.000,,2024-11-30,PAID,sarah@mail
197,amina ibrahim,not available,JOS,Iphone X,250.000,3,2024/11/02,failed,danokoro@mail
198, CHINEDU OKAFOR ,,Jos,SAMSUNG PHONE,"35,000",1,2024/10/15,FAILED,danokoro@mail
199,ifeoma igwe,0801-685-7262,Lagos,iphone x,250000,,12-11-2024,failed,
200,gbenga isaac,0808-497-4137,ABUJA,samsung phone,450.000,,25/11/2024,paid,FAITH@GMAIL.COM
201,EMEKA UZO,,Abuja,iphone x,35.000,,18-10-2024,Pending,oluchioke@mail
202, CHINEDU OKAFOR ,0807 453 0423,Jos,HP laptop,35.000,,2024/11/12,FAILED,chika@mail.com
203,VICTOR ADE,0800 605 3862,enugu,iPhone X,450.000,3,Nov 27 2024,Paid,
204,adebayo   femi,not available,JOS,Iphone X,"120,000",2,05/11/2024,failed,blessing@mail.com
205,CHIKA ONUOHA,,Kaduna,hp laptop,120.000,1,12-10-2024,PAID,amaka@
206,KINGSLEY ONU,,KADUNA,Iphone X,150000,,2024/10/01,Pending,amaka@
207,ferdinand  nwoke,not available,Kaduna,hp laptop,450.000,2,2024-10-20,paid,amaka@
208,janet olawale,0808 879 5683,ABUJA,SAMSUNG PHONE,"250,000",1,19/11/2024,Paid,no email
209,amina ibrahim,08072064715,port harcourt,Samsung Phone,450.000,,10/11/2024,Paid,oluchioke@mail
210,Michael  Peters,0803-364-9966,LAGOS,AirPods,450000,1,Oct 12 2024,failed,abdul@mail
211,joy okafor,0808 434 3152,ENUGU,hp laptop,35000,1,Nov 03 2024,pending,
212,KINGSLEY ONU,08051152353,ABUJA,Iphone X,120.000,,21/10/2024,PENDING,CHINEDU@EMAIL.COM
213,ifeoma igwe,not available,port harcourt,iPhone X,"450,000",3,18/11/2024,Paid,amaka@
214,TUNDE BAKARE,0802 199 6592,ABUJA,AirPods,250000,2,2024/11/30,PAID,FAITH@GMAIL.COM
215,musa  danjuma,0802-645-2376,Abuja,Iphone X,35.000,2,Oct 05 2024,FAILED,CHINEDU@EMAIL.COM
216,musa  danjuma,0804 069 8521,Jos,Iphone X,120000,2,Oct 10 2024,pending,no email
217,adebayo   femi,0807-380-8367,Lagos,SAMSUNG PHONE,35.000,3,2024/10/26,pending,musa@mail.com
218, CHINEDU OKAFOR ,not available,lagos,SAMSUNG PHONE,250000,1,21-11-2024,PAID,ESTHER@MAIL.COM
219,oluchi oke,0802-115-3785,PORT HARCOURT,Infinix Phone,35000,,07-10-2024,Pending,adefemi@mail
220,sarah ben,0809 048 8202,enugu,airpods,450000,1,23-11-2024,PAID,kingsley@mail.com
221,gbenga isaac,0808-934-3631,Abuja,iphone x,35000,,2024-10-29,Paid,janet@mail.com
222,ABDUL  BELLO,,port harcourt,hp laptop,150000,,10-11-2024,Pending,FAITH@GMAIL.COM
223,sarah ben,0808 395 4938,LAGOS,AirPods,120.000,1,2024-10-27,paid,FAITH@GMAIL.COM
224,joy okafor,08041049362,JOS,hp laptop,"35,000",2,2024-10-23,paid, no email
225,Michael  Peters,0807 652 0632,Jos,samsung phone,450.000,,25-11-2024,PENDING, no email
226,ferdinand  nwoke,0809-970-3864,Abuja,Samsung Phone,250000,,2024-11-14,FAILED,janet@mail.com
227, Chinedu Okafor ,0800-071-8263,Jos,Samsung Phone,35.000,2,2024/10/18,Paid,ESTHER@MAIL.COM
228,FAITH JOHN,0804-224-7378,LAGOS,infinix phone,35000,2,31/10/2024,paid, no email
229,gbenga isaac,not available,Lagos,iphone x,35000,1,15-11-2024,Pending,
230,sarah ben,,JOS,Infinix Phone,120000,3,25-11-2024,PAID,ESTHER@MAIL.COM
231,GRACE DANIEL,08053195983,Abuja,HP Laptop,"120,000",,2024/11/23,failed,chika@mail.com
232,ferdinand  nwoke,not available,PORT HARCOURT,infinix phone,120000,,Nov 17 2024,PENDING,CHINEDU@EMAIL.COM
233,oluchi oke,08041640075,ABUJA,iPhone X,"35,000",,Oct 31 2024,FAILED,no email
234,amina ibrahim,not available,LAGOS,iPhone X,120.000,,2024-10-30,paid,
235,Michael  Peters,,Abuja,hp laptop,"120,000",,05/10/2024,FAILED,FAITH@GMAIL.COM
236,musa  danjuma,0806-489-9189,enugu,hp laptop,35000,,2024-10-18,Pending,CHINEDU@EMAIL.COM
237,  Blessing Okorie,0801 695 6679,Lagos,HP Laptop,150.000,3,02-10-2024,pending,musa@mail.com
238,KINGSLEY ONU,0807 968 4405,PORT HARCOURT,SAMSUNG PHONE,150000,,2024/11/11,PAID,chika@mail.com
239,  amaka obinna,,port harcourt,HP Laptop,"250,000",2,22-11-2024,paid,EMEKA@MAIL.COM
240, Chinedu Okafor ,not available,Lagos,infinix phone,150000,,28/11/2024,paid,ESTHER@MAIL.COM
241,Michael  Peters,,LAGOS,airpods,"35,000",1,Nov 30 2024,PAID,danokoro@mail
242,sarah ben,0805-004-2702,LAGOS,samsung phone,250.000,2,20-11-2024,FAILED,
243,Michael  Peters,,Abuja,iphone x,"150,000",3,2024/10/25,paid,EMEKA@MAIL.COM
244,janet olawale,,KADUNA,iPhone X,"120,000",1,18-10-2024,PENDING, no email
245,TUNDE BAKARE,0800 031 0753,LAGOS,iphone x,35.000,,Oct 10 2024,FAILED,janet@mail.com
246,gbenga isaac,,JOS,Infinix Phone,120000,2,2024/10/15,PENDING,
247,CHIKA ONUOHA,0808 095 1128,JOS,HP Laptop,450.000,3,2024-10-02,failed,kingsley@mail.com
248,  ESTHER   JOHN,not available,Jos,HP laptop,450.000,,Oct 11 2024,PAID,
249,CHIKA ONUOHA,0803 211 8925,JOS,Samsung Phone,35000,2,2024-10-17,paid,musa@mail.com
250,EMEKA UZO,0809-434-7308,ABUJA,HP laptop,250.000,,2024-10-08,Paid,danokoro@mail
251, CHINEDU OKAFOR ,,Kaduna,HP Laptop,"150,000",2,03/10/2024,pending,oluchioke@mail
252,oluchi oke,not available,Kaduna,Iphone X,"35,000",1,17-11-2024,Paid,
253,janet olawale,0801-893-4627,Lagos,iPhone X,120.000,,25/11/2024,paid,amaka@
254,Michael  Peters,08075048939,Abuja,airpods,450.000,1,2024-11-17,pending,amaka@
255,KINGSLEY ONU,not available,lagos,HP laptop,"450,000",1,2024/11/13,PAID,abdul@mail
256,ifeoma igwe,0801 285 5930,Jos,airpods,150000,3,Oct 08 2024,Pending,oluchioke@mail
257,amina ibrahim,not available,Kaduna,iphone x,250.000,1,23/11/2024,FAILED,
258,janet olawale,,Lagos,Samsung Phone,"120,000",2,21/10/2024,Pending,kingsley@mail.com
259,  Blessing Okorie,0800-049-7827,PORT HARCOURT,iphone x,35000,,Oct 25 2024,Pending,adefemi@mail
260,musa  danjuma,08013120212,ABUJA,iPhone X,"120,000",1,2024-10-26,PENDING,musa@mail.com
261,  ESTHER   JOHN,0807 104 0398,JOS,iphone x,250000,1,14/11/2024,failed,chika@mail.com
262,GRACE DANIEL,0802-730-2076,Jos,infinix phone,35000,1,2024-11-21,PENDING,sarah@mail
